listPrice,rent,livingArea,rooms,published,constructionYear,objectType,booliId,soldDate,soldPrice,soldPriceSource,url,floor,additionalArea,apartmentNumber,plotArea,location.address.streetAddress,location.position.latitude,location.position.longitude,location.position.isApproximate,location.region.municipalityName,location.region.countyName,location.distance.ocean,source.name,source.id,source.type,source.url
3995000,4467,73,3,2018-10-15 13:33:18,1935,Lägenhet,3263989,2018-11-08,3820000,bid,https://www.booli.se/annons/3263989,NA,NA,NA,NA,Åminnevägen 19,59.37103271,18.0540565,NA,Stockholm,Stockholms län,260,MOHV,1901865,Broker,http://www.mohv.se/
1995000,1773,36,1,2018-10-05 14:29:28,1968,Lägenhet,3256231,2018-10-19,2355000,maklare,https://www.booli.se/annons/3256231,1,0,1103,NA,Docentbacken 9,59.37124248,18.05782092,NA,Stockholm,Stockholms län,218,Notar,1566,Broker,http://www.notar.se/
5100000,3839,81,3,2018-09-11 13:44:43,1936,Lägenhet,3236660,2018-09-27,6110000,bid,https://www.booli.se/annons/3236660,3,0,1301,NA,Ekhagsvägen 5,59.37161719,18.05471583,NA,Stockholm,Stockholms län,186,Historiska Hem AB,65645750,Broker,http://historiskahem.se/
5495000,4483,107,4,2018-08-25 02:56:56,1936,Lägenhet,3224374,2018-09-06,8050000,bid,https://www.booli.se/annons/3224374,3,0,NA,NA,Torphagsvägen 4,59.37148,18.05388,NA,Stockholm,Stockholms län,218,Notar,1566,Broker,http://www.notar.se/
1995000,1696,29,1,2018-06-15 17:16:19,1936,Lägenhet,3185496,2018-06-18,2400000,maklare,https://www.booli.se/annons/3185496,3,NA,NA,NA,Torphagsvägen 14,59.3721605,18.0535415,TRUE,Stockholm,Stockholms län,166,Mäklarhuset,204,Broker,http://www.maklarhuset.se/
7495000,5923,125,4,2018-06-09 10:51:27,1936,Lägenhet,3181135,2018-06-21,8950000,bid,https://www.booli.se/annons/3181135,4,0,NA,NA,Torphagsvägen 4,59.37148,18.05388,NA,Stockholm,Stockholms län,218,Notar,1566,Broker,http://www.notar.se/
3975000,3324,79.2,3,2018-06-01 20:39:17,1968,Lägenhet,3175733,2018-06-16,4200000,bid,https://www.booli.se/annons/3175733,1,NA,1104,NA,Docentbacken 5,59.3710473,18.0583678,TRUE,Stockholm,Stockholms län,246,Svensk Fastighetsförmedling,713,Broker,http://www.svenskfast.se/
3250000,2789,64.3,2,2018-05-31 20:07:51,1969,Lägenhet,3173741,2018-06-15,3300000,bid,https://www.booli.se/annons/3173741,1,0,NA,NA,Docentbacken 3,59.3709502,18.0586253,TRUE,Stockholm,Stockholms län,264,Innerstadsspecialisten AB,1130,Broker,http://www.innerspec.se/
3250000,2965,64.3,2,2018-05-25 20:46:58,1968,Lägenhet,3169052,2018-06-10,3150000,bid,https://www.booli.se/annons/3169052,0,0,NA,NA,Docentbacken 3,59.3709502,18.0586253,TRUE,Stockholm,Stockholms län,264,Notar,1566,Broker,http://www.notar.se/
5495000,6465,96,3,2018-05-19 12:47:47,1936,Lägenhet,3154871,2018-06-04,5400000,bid,https://www.booli.se/annons/3154871,2,NA,1205,NA,Åminnevägen 17,59.37119438,18.05355191,NA,Stockholm,Stockholms län,255,Nestor Fastighetsmäkleri,186499846,Broker,https://nestorfastighetsmakleri.se/
2295000,1743,29,1,2018-05-05 04:43:36,1935,Lägenhet,3125674,2018-05-19,2420000,bid,https://www.booli.se/annons/3125674,NA,NA,NA,NA,Ekhagsvägen 9,59.3720466,18.0549855,TRUE,Stockholm,Stockholms län,136,Mäklarhuset,204,Broker,http://www.maklarhuset.se/
2495000,2897,47,2,2018-05-11 22:35:39,1935,Lägenhet,3152236,2018-05-18,3260000,bid,https://www.booli.se/annons/3152236,1,NA,NA,NA,Ekhagsvägen 12,59.372272100000004,18.0556589,TRUE,Stockholm,Stockholms län,101,ERA,1562,Broker,http://www.erasweden.com/
4750000,4537,92,3,2018-04-27 01:21:27,1935,Lägenhet,3138304,2018-05-16,4900000,bid,https://www.booli.se/annons/3138304,0,0,NA,NA,Torphagsvägen 10,59.3723882,18.0524828,TRUE,Stockholm,Stockholms län,181,Notar,1566,Broker,http://www.notar.se/
